input_year,forecast_year,scenario_family,mask_scope,mask_kind,mask_name,masked_ticker,ticker,baseline_rank,masked_rank,signed_rank_delta,absolute_rank_delta,baseline_confidence,masked_confidence,confidence_delta,baseline_score,masked_score,score_delta,selected_feature_count,usable_feature_count,missing_selected_feature_count,ticker_directly_masked,sensitivity_label
2025,2026,A,dataset_wide,category,derived,,AEFES,24,18,-6,6,1.0,0.6667,-0.3333,0.4741,0.3646,-0.1095,12,8,4,True,"Serving-heuristic sensitivity only — describes how this deterministic ranking recipe responds to missing inputs; it does not measure predictive skill, which remains indistinguishable from the null."
2025,2026,A,dataset_wide,category,derived,,ARCLK,18,9,-9,9,1.0,0.6667,-0.3333,0.5382,0.4092,-0.129,12,8,4,True,"Serving-heuristic sensitivity only — describes how this deterministic ranking recipe responds to missing inputs; it does not measure predictive skill, which remains indistinguishable from the null."
2025,2026,A,dataset_wide,category,derived,,ASELS,1,2,1,1,1.0,0.6667,-0.3333,0.8305,0.5198,-0.3107,12,8,4,True,"Serving-heuristic sensitivity only — describes how this deterministic ranking recipe responds to missing inputs; it does not measure predictive skill, which remains indistinguishable from the null."
2025,2026,A,dataset_wide,category,derived,,ASTOR,19,25,6,6,1.0,0.6667,-0.3333,0.5235,0.323,-0.2005,12,8,4,True,"Serving-heuristic sensitivity only — describes how this deterministic ranking recipe responds to missing inputs; it does not measure predictive skill, which remains indistinguishable from the null."
2025,2026,A,dataset_wide,category,derived,,BIMAS,4,4,0,0,1.0,0.6667,-0.3333,0.6832,0.4597,-0.2235,12,8,4,True,"Serving-heuristic sensitivity only — describes how this deterministic ranking recipe responds to missing inputs; it does not measure predictive skill, which remains indistinguishable from the null."
2025,2026,A,dataset_wide,category,derived,,BRSAN,22,19,-3,3,1.0,0.6667,-0.3333,0.4969,0.3562,-0.1407,12,8,4,True,"Serving-heuristic sensitivity only — describes how this deterministic ranking recipe responds to missing inputs; it does not measure predictive skill, which remains indistinguishable from the null."
2025,2026,A,dataset_wide,category,derived,,BTCIM,36,37,1,1,1.0,0.6667,-0.3333,0.3151,0.1963,-0.1188,12,8,4,True,"Serving-heuristic sensitivity only — describes how this deterministic ranking recipe responds to missing inputs; it does not measure predictive skill, which remains indistinguishable from the null."
2025,2026,A,dataset_wide,category,derived,,CANTE,39,40,1,1,1.0,0.6667,-0.3333,0.2371,0.1455,-0.0916,12,8,4,True,"Serving-heuristic sensitivity only — describes how this deterministic ranking recipe responds to missing inputs; it does not measure predictive skill, which remains indistinguishable from the null."
2025,2026,A,dataset_wide,category,derived,,CCOLA,23,13,-10,10,1.0,0.6667,-0.3333,0.4758,0.3908,-0.085,12,8,4,True,"Serving-heuristic sensitivity only — describes how this deterministic ranking recipe responds to missing inputs; it does not measure predictive skill, which remains indistinguishable from the null."
2025,2026,A,dataset_wide,category,derived,,CIMSA,17,22,5,5,1.0,0.6667,-0.3333,0.5399,0.3441,-0.1958,12,8,4,True,"Serving-heuristic sensitivity only — describes how this deterministic ranking recipe responds to missing inputs; it does not measure predictive skill, which remains indistinguishable from the null."
2025,2026,A,dataset_wide,category,derived,,DOAS,29,26,-3,3,1.0,0.6667,-0.3333,0.404,0.3048,-0.0992,12,8,4,True,"Serving-heuristic sensitivity only — describes how this deterministic ranking recipe responds to missing inputs; it does not measure predictive skill, which remains indistinguishable from the null."
2025,2026,A,dataset_wide,category,derived,,DSTKF,15,16,1,1,0.9167,0.6667,-0.25,0.5853,0.3829,-0.2024,12,8,4,True,"Serving-heuristic sensitivity only — describes how this deterministic ranking recipe responds to missing inputs; it does not measure predictive skill, which remains indistinguishable from the null."
2025,2026,A,dataset_wide,category,derived,,ENKAI,5,6,1,1,1.0,0.6667,-0.3333,0.6757,0.4292,-0.2465,12,8,4,True,"Serving-heuristic sensitivity only — describes how this deterministic ranking recipe responds to missing inputs; it does not measure predictive skill, which remains indistinguishable from the null."
2025,2026,A,dataset_wide,category,derived,,EREGL,26,27,1,1,1.0,0.6667,-0.3333,0.4698,0.2888,-0.181,12,8,4,True,"Serving-heuristic sensitivity only — describes how this deterministic ranking recipe responds to missing inputs; it does not measure predictive skill, which remains indistinguishable from the null."
