rule_id,rule_kind,feature,concept_group,applicability,not_applicable_when,condition_evidence_required,when_condition_unevidenced,null_reason_when_not_applicable,null_reason_when_applicable_but_absent,required_source_classes,basis
AR-001,APPLICABILITY,benchmark_same_year_return_pct,G6,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-7,Stage-A 10.4 declares this a never-not-applicable price/benchmark anchor; it requires the declared XU100 PRICE_INDEX series.
AR-002,APPLICABILITY,current_assets,G1,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition; the concept is defined for every candidate issuer-year under the admitted annual statement.
AR-003,APPLICABILITY,current_ratio,G5,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition; absent inputs remain missing under 10.5.
AR-004,APPLICABILITY,ebitda,G2,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition; the concept is required even where a statement format later makes the row ineligible.
AR-005,APPLICABILITY,ebitda_growth_pct,G4,CONDITIONAL,"the issuer-year is the earliest evidenced feature year for that security identity in the acquired panel, so no evidenced T-1 base period exists",SC-2 security identity continuity plus SC-4;SC-9 evidence of an admissible same-filing T-1 comparative base period,APPLICABLE_AND_FAIL_CLOSED,NOT_APPLICABLE,MISSING_SOURCE_CLASS_GAP,SC-4;SC-9,Stage-A 10.4: a growth rate cannot be evidenced without an evidenced base period.
AR-006,APPLICABILITY,ebitda_margin,G2,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-007,APPLICABILITY,enterprise_value,G1,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4;SC-5;SC-6,"Stage-A 10.4 lists no not-applicable condition; the derived value still requires statements, shares outstanding, and adjusted price evidence (10.5 missingness)."
AR-008,APPLICABILITY,equity,G1,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-009,APPLICABILITY,ev_ebitda,G3,CONDITIONAL,ebitda <= 0,SC-4 evidenced EBITDA sign for the admitted fiscal_year_of_record,APPLICABLE_AND_FAIL_CLOSED,NOT_APPLICABLE,MISSING_SOURCE_CLASS_GAP,SC-4;SC-5;SC-6,Stage-A 10.4: enterprise_value / ebitda is defined only where EBITDA is positive.
AR-010,APPLICABILITY,financial_debt_ratio,G5,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-10,"Stage-A 10.4 lists no not-applicable condition; D3 forbids repository derivation, so an unsupplied SC-10 value is 10.5 missingness, not non-applicability."
AR-011,APPLICABILITY,gross_margin,G2,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-012,APPLICABILITY,gross_profit,G2,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition; statement-format comparability is a separate SC-3 row gate.
AR-013,APPLICABILITY,gross_profit_growth_pct,G4,CONDITIONAL,"the issuer-year is the earliest evidenced feature year for that security identity in the acquired panel, so no evidenced T-1 base period exists",SC-2 security identity continuity plus SC-4;SC-9 evidence of an admissible same-filing T-1 comparative base period,APPLICABLE_AND_FAIL_CLOSED,NOT_APPLICABLE,MISSING_SOURCE_CLASS_GAP,SC-4;SC-9,Stage-A 10.4: a growth rate cannot be evidenced without an evidenced base period.
AR-014,APPLICABILITY,leverage_ratio,G5,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-015,APPLICABILITY,long_term_liabilities,G5,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-016,APPLICABILITY,market_cap,G1,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4;SC-5;SC-6,Stage-A 10.4 lists no not-applicable condition; absent shares or price evidence is 10.5 missingness.
AR-017,APPLICABILITY,net_debt,G5,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-018,APPLICABILITY,net_debt_to_ebitda,G5,CONDITIONAL,ebitda <= 0,SC-4 evidenced EBITDA sign for the admitted fiscal_year_of_record,APPLICABLE_AND_FAIL_CLOSED,NOT_APPLICABLE,MISSING_SOURCE_CLASS_GAP,SC-4;SC-5;SC-6,"Stage-A 10.4 applies the same positive-EBITDA accounting guard as ev_ebitda, declared and not inferred from data."
AR-019,APPLICABILITY,net_income,G2,ALWAYS_APPLICABLE,,,N/A,,MISSING_SOURCE_CLASS_GAP,SC-4,Stage-A 10.4 lists no not-applicable condition for this member.
AR-020,APPLICABILITY,net_income_growth_pct,G4,CONDITIONAL,"the issuer-year is the earliest evidenced feature year for that security identity in the acquired panel, so no evidenced T-1 base period exists",SC-2 security identity continuity plus SC-4;SC-9 evidence of an admissible same-filing T-1 comparative base period,APPLICABLE_AND_FAIL_CLOSED,NOT_APPLICABLE,MISSING_SOURCE_CLASS_GAP,SC-4;SC-9,Stage-A 10.4: a growth rate cannot be evidenced without an evidenced base period.
