model,model_kind,year,scenario_id,scenario_role,cost_bps_assumption,basket_size,selected_tickers_ranked,gross_basket_mean_return_pct,turnover_from_prior_year,cost_drag_pct_points,net_basket_mean_return_pct,chart_stamp
baseline_equal_weight,baseline,2023,zero_cost_control,zero-cost arithmetic control,0.0,10,SISE|KCHOL|TTKOM|ISCTR|YKBNK|THYAO|ASELS|PGSUS|TOASO|TCELL,44.0034868186,,0.0,44.0034868186,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_equal_weight,baseline,2023,illustrative_25bps_assumption,illustrative assumption,25.0,10,SISE|KCHOL|TTKOM|ISCTR|YKBNK|THYAO|ASELS|PGSUS|TOASO|TCELL,44.0034868186,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_equal_weight,baseline,2023,illustrative_100bps_assumption,illustrative assumption,100.0,10,SISE|KCHOL|TTKOM|ISCTR|YKBNK|THYAO|ASELS|PGSUS|TOASO|TCELL,44.0034868186,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_equal_weight,baseline,2023,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,SISE|KCHOL|TTKOM|ISCTR|YKBNK|THYAO|ASELS|PGSUS|TOASO|TCELL,44.0034868186,,,,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_equal_weight,baseline,2024,zero_cost_control,zero-cost arithmetic control,0.0,10,GARAN|KCHOL|AKBNK|AGHOL|YKBNK|ISCTR|CCOLA|SISE|THYAO|ASELS,51.1296389677,0.4,0.0,51.1296389677,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_equal_weight,baseline,2024,illustrative_25bps_assumption,illustrative assumption,25.0,10,GARAN|KCHOL|AKBNK|AGHOL|YKBNK|ISCTR|CCOLA|SISE|THYAO|ASELS,51.1296389677,0.4,0.1,51.0296389677,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_equal_weight,baseline,2024,illustrative_100bps_assumption,illustrative assumption,100.0,10,GARAN|KCHOL|AKBNK|AGHOL|YKBNK|ISCTR|CCOLA|SISE|THYAO|ASELS,51.1296389677,0.4,0.4,50.7296389677,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_equal_weight,baseline,2024,deliberately_adverse_10000bps_control,deliberately adverse arithmetic stress control,10000.0,10,GARAN|KCHOL|AKBNK|AGHOL|YKBNK|ISCTR|CCOLA|SISE|THYAO|ASELS,51.1296389677,0.4,40.0,11.1296389677,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_equal_weight,baseline,2025,zero_cost_control,zero-cost arithmetic control,0.0,10,GARAN|AKBNK|ASELS|TCELL|VAKBN|AGHOL|PGSUS|YKBNK|EREGL|FROTO,28.283467443,0.5,0.0,28.283467443,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_equal_weight,baseline,2025,illustrative_25bps_assumption,illustrative assumption,25.0,10,GARAN|AKBNK|ASELS|TCELL|VAKBN|AGHOL|PGSUS|YKBNK|EREGL|FROTO,28.283467443,0.5,0.125,28.158467443,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
baseline_equal_weight,baseline,2025,illustrative_100bps_assumption,illustrative assumption,100.0,10,GARAN|AKBNK|ASELS|TCELL|VAKBN|AGHOL|PGSUS|YKBNK|EREGL|FROTO,28.283467443,0.5,0.5,27.783467443,Hypothetical illustration — not a backtest of a viable strategy; underlying signal IC ≈ 0 and no model survives significance correction.
